NOMEEMPRESA,PORTE,MEI,CNPJ,DS_LOGRADOURO,DS_NUMERO,DS_COMPLEMENTO,NO_BAIRRO,NR_CEP,NO_MUNICIPIO,DS_ATIVIDADE
NAME00000985,ME,N,36408656098500,AVENIDA CONCEIÇÃO DA BARRA,744,,ARAÇÁ,29901391.0,LINHARES,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE
NAME00000986,EPP,N,36408656098600,RUA CAPITÃO JOSÉ MARIA,1340,LOJA 01,CENTRO,29900172.0,LINHARES,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000987,ME,N,36408656098700,RUA JEQUIE,81,1 ANDAR,BARCELONA,29167170.0,SERRA,COMÉRCIO VAREJISTA DE LATICÍNIOS E FRIOS
NAME00000988,ME,N,36408656098800,RUA HENRIQUE NOVAES,88,EDIF CHAMBOARD SALA 1104,CENTRO,29010923.0,VITÓRIA,SERVIÇOS DE ENGENHARIA
NAME00000989,ME,,36408656098900,AVENIDA CHAMPAGNAT,404,ANDAR 1 LOJA 2,PRAIA DA COSTA,29101410.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA
NAME00000990,EPP,,36408656099000,RUA 25 DE MARÇO,10,,CENTRO,29300100.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00000991,EPP,N,36408656099100,RUA ROLF POTRATZ,10,TERREO,CENTRO,29645000.0,SANTA MARIA DE JETIBÁ,RESTAURANTES E SIMILARES
NAME00000992,EPP,N,36408656099200,RODOVIA BR 101,S/N,KM 254,SAO DOMINGOS,29177522.0,SERRA,FUNDIÇÃO DE FERRO E AÇO
NAME00000993,ME,N,36408656099300,RUA AGLAE PIOVESAN,188,LOJA   COMERCIO,MORADA DE SANTA FÉ,29143697.0,CARIACICA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000994,ME,,36408656099400,RUA DIONISIO ROSENDO,213,,CENTRO,29015160.0,VITÓRIA,HOTÉIS
NAME00000995,ME,N,36408656099500,RUA DOMINGOS LOURENCINI OLIVEIRA,2,QB L 20,PARQUE LARANJEIRAS,29317060.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00000996,ME,,36408656099600,AVENIDA GETÚLIO VARGAS,305,LOJA 04 EDIF WANDERLEY,CENTRO,29700011.0,COLATINA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA
NAME00000997,EPP,,36408656099700,PRAÇA 7 DE ABRIL,15,,CENTRO,29580000.0,DORES DO RIO PRETO,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00000998,ME,,36408656099800,RUA COSTA PEREIRA,114,,SUMARE,29304516.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00000999,EPP,,36408656099900,TRAVESSA Glicério Santos,25,,Santa Cecília,29700345.0,COLATINA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00001000,ME,,36408656100000,AV. AMERICA,19,,JARDIM AMERICA,29140050.0,CARIACICA,FABRICAÇÃO DE MÓVEIS COM PREDOMINÂNCIA DE MADEIRA
NAME00001001,ME,N,36408656100100,AV REGIAO NORDESTE,70,,BARCELONA,29166005.0,SERRA,COMÉRCIO VAREJISTA DE ARTIGOS DE ÓPTICA
NAME00001002,ME,N,36408656100200,AVENIDA ESTUDANTE JOSE JULIO DE SOUZA,2100,"LOJA 02, ED. GREEN DIAMOND FLAT",PRAIA DE ITAPARICA,29102010.0,VILA VELHA,INCORPORAÇÃO DE EMPREENDIMENTOS IMOBILIÁRIOS
NAME00001003,ME,,36408656100300,RUA 7 DE SETEMBRO,40,,CENTRO,29500000.0,ALEGRE,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00001004,EPP,N,36408656100400,AVENIDA GOVERNADOR SANTOS NEVES,926,,CENTRO,29900077.0,LINHARES,COMÉRCIO VAREJISTA ESPECIALIZADO DE ELETRODOMÉSTICOS E EQUIPAMENTOS DE ÁUDIO E VÍDEO
NAME00001005,ME,N,36408656100500,R TIRADENTES,200,: ESQ R MANOEL MILAGRE;,VILA KENNEDY,29730000.0,BAIXO GUANDU,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001006,ME,,36408656100600,RUA JOSE CALEGARIO,52,,AEROPORTO,29314185.0,CACHOEIRO DE ITAPEMIRIM,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
NAME00001007,ME,S,36408656100700,AVENIDA CRISTIANO DIAS LOPES FILHO,2164,,BARRA DE ITAPEMIRIM,29349000.0,MARATAÍZES,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICAÇÃO
NAME00001008,ME,,36408656100800,RUA VINTE TRES DE MAIO,123,,SAO SEBASTIAO,29400000.0,MIMOSO DO SUL,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES
NAME00001009,EPP,N,36408656100900,RUA MANUEL JOAQUIM DOS SANTOS,44,,ITACIBA,29150270.0,CARIACICA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001010,ME,N,36408656101000,RUA SANTA TEREZINHA,170,,GLORIA,29122220.0,VILA VELHA,REPARAÇÃO E MANUTENÇÃO DE EQUIPAMENTOS ELETROELETRÔNICOS DE USO PESSOAL E DOMÉSTICO
NAME00001011,ME,,36408656101100,RUA MARIA GOMES DE AGUIAR,115,TERREOTERREO,CENTRO,29590000.0,DIVINO DE SÃO LOURENÇO,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00001012,ME,N,36408656101200,RUA VARSOVIA,545,,LOTEAMENTO TUBARAO,29168374.0,SERRA,FABRICAÇÃO DE PRODUTOS DE LIMPEZA E POLIMENTO
NAME00001013,ME,,36408656101300,RUA INTERVENTOR SANTOS NEVES,90,,,29185000.0,FUNDÃO,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00001014,ME,,36408656101400,RUA VIANA,386,,VILA CAPIXABA,29148170.0,CARIACICA,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00001015,ME,,36408656101500,RUA EVERALDINO SILVA,30,,SEDE,29185000.0,FUNDÃO,FABRICAÇÃO DE MASSAS ALIMENTÍCIAS
NAME00001016,ME,N,36408656101600,RUA ENGENHEIRO FÁBIO RUSCHI,309,,BENTO FERREIRA,29050670.0,VITÓRIA,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
NAME00001017,EPP,,36408656101700,CEL ANTONIO M BARBOSA,139,,CENTRO,29690000.0,ITAGUAÇU,COMÉRCIO VAREJISTA DE CALÇADOS
NAME00001018,ME,N,36408656101800,RUA JOAQUIM DA SILVA LIMA,310,,CENTRO,29200260.0,GUARAPARI,HOTÉIS
NAME00001019,EPP,N,36408656101900,RUA GENERAL OSORIO,80,,CENTRO,29010030.0,VITÓRIA,COMÉRCIO VAREJISTA ESPECIALIZADO DE INSTRUMENTOS MUSICAIS E ACESSÓRIOS
NAME00001020,ME,,36408656102000,AV REPUBLICA,165,LOJA 04,PARQUE MOSCOSO,29018310.0,VITÓRIA,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00001021,ME,,36408656102100,RUA LUCIANO DAS NEVES,1020,,CENTRO,29100000.0,VILA VELHA,COMÉRCIO VAREJISTA DE FERRAGENS E FERRAMENTAS
NAME00001022,ME,,36408656102200,RUA João Cypriano,24,,Maria Ortiz,29301560.0,CACHOEIRO DE ITAPEMIRIM,"Serviços de usinagem, tornearia e solda"
NAME00001023,ME,,36408656102300,AV PRESIDENTE VARGAS,290,,CENTRO,29680000.0,JOÃO NEIVA,COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS PARA USO HUMANO E VETERINÁRIO
NAME00001024,ME,,36408656102400,RUA COMISSARIO OCTAVIO QUEIROZ,477,LOJA 01,JARDIM DA PENHA,29060270.0,VITÓRIA,PEIXARIA
NAME00001025,ME,,36408656102500,AV SILVIO AVIDOS,2387,,SAO SILVANO,29706010.0,COLATINA,COMÉRCIO VAREJISTA DE OUTROS PRODUTOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00001026,ME,,36408656102600,AV GOVERNADOR ÇACERDA DE AGUIAR,679,,CENTRO,29845000.0,BOA ESPERANÇA,ATIVIDADE MÉDICA AMBULATORIAL RESTRITA A CONSULTAS
NAME00001027,EPP,N,36408656102700,RUA Expedicionário Abílio dos Santos,70,,Centro,29700070.0,COLATINA,COMÉRCIO VAREJISTA DE MATERIAL ELÉTRICO
NAME00001028,ME,,36408656102800,RUA TOME DE SOUZA,860,SALA 604,SAVASSI,30140909.0,BELO HORIZONTE,ATIVIDADES DE PRODUÇÃO DE FOTOGRAFIAS AÉREAS E SUBMARINAS
NAME00001029,EPP,N,36408656102900,RUA GETULIO VARGAS,36,LOJA 01,CENTRO,29200180.0,GUARAPARI,LABORATÓRIOS CLÍNICOS
NAME00001030,ME,N,36408656103000,RUA AMÁLIA FARIA SANTOS,24,TERREO LOJA,SÃO GERALDO,29146652.0,CARIACICA,"LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES"
NAME00001031,ME,N,36408656103100,AVENIDA Padre Anchieta,205,PAVMTO 01;,Dom Bosco,29147300.0,CARIACICA,RESTAURANTES E SIMILARES
NAME00001032,ME,,36408656103200,RUA JOAQUIM LIRA,360,FRENTE,BARRA DO JUCU,29125050.0,VILA VELHA,BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS
NAME00001033,ME,,36408656103300,RUA VIEIRA MACHADO,379,,CENTRO,29480000.0,MUQUI,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001034,EPP,,36408656103400,AV FERNANDO FERRARI,3371,,JABOUR,29072253.0,VITÓRIA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00001035,ME,,36408656103500,R SAO JUDAS TADEU,304,: RES 02 PAV 02;,PORTO DE SANTANA,29153090.0,CARIACICA,SERVIÇOS DE ACABAMENTOS GRÁFICOS
NAME00001036,ME,S,36408656103600,RUA DR.JOSE M. DA SILVA,4,,CENTRO,29400000.0,MIMOSO DO SUL,COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO
NAME00001037,ME,,36408656103700,SITIO SAO VICENTE,SN,,SAO VICENTE,29280000.0,RIO NOVO DO SUL,EXTRAÇÃO DE GRANITO E BENEFICIAMENTO ASSOCIADO
NAME00001038,EPP,N,36408656103800,RODOVIA ES 375,SN,"KM 6,9",RICHIMOND,29295000.0,VARGEM ALTA,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
NAME00001039,ME,,36408656103900,RUA JOAO PESSOA DE MATTOS,506,,PRAIA DA COSTA,29101115.0,VILA VELHA,AGÊNCIAS DE PUBLICIDADE
NAME00001040,ME,,36408656104000,CORREGO SANTA LIDIA,S/N,SEDE,ZONA RURAL,29800000.0,BARRA DE SÃO FRANCISCO,"APARELHAMENTO DE PLACAS E EXECUÇÃO DE TRABALHOS EM MÁRMORE, GRANITO, ARDÓSIA E OUTRAS PEDRAS"
NAME00001041,ME,N,36408656104100,AV FREDERICO AUGUSTO COSER,7,,AEROPORTO,29300000.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE TECIDOS
NAME00001042,ME,N,36408656104200,RUA GERMANO NAUMANN FILHO,394,,CENTRO,29700030.0,COLATINA,MANUTENÇÃO E REPARAÇÃO DE MÁQUINAS E EQUIPAMENTOS PARA USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE
NAME00001043,ME,,36408656104300,AVENIDA FERNANDO FERRARI,70,PAVMTO 1;,PONTAL DE CAMBURI,29062010.0,VITÓRIA,COMÉRCIO VAREJISTA DE OUTROS ARTIGOS DE USO DOMÉSTICO NÃO ESPECIFICADOS ANTERIORMENTE
NAME00001044,EPP,,36408656104400,RUA CASSIANO CASTELO,26,,CENTRO,29700060.0,COLATINA,COMÉRCIO VAREJISTA DE MÓVEIS
NAME00001045,EPP,N,36408656104500,AVENIDA JONES DOS SANTOS NEVES,209,"GALERIA PALACE, LOJA 01",CENTRO,29930015.0,SÃO MATEUS,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA
NAME00001046,ME,,36408656104600,AV. JERONIMO MONTEIRO,987,LOJA 01,PAUL,29115045.0,VILA VELHA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001047,ME,,36408656104700,AVENIDA MIRAMAR,108,SALA: 303; EDIF: PEDRA ANGULAR;,DE FATIMA,29160752.0,SERRA,CRIAÇÃO DE BOVINOS PARA CORTE
NAME00001048,EPP,N,36408656104800,RUA JOSÉ NUNES SOBRINHO,223,,ALTO UNIÃO,29315010.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001049,ME,,36408656104900,RUA NOSSA SENHORA DA PENHA,1255,LOJA 05 ED OMEGA CENTER,PRAIA DO CANTO,29055131.0,VITÓRIA,COMÉRCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMÁTICA
NAME00001050,ME,,36408656105000,AVENIDA PRESIDENTE VARGAS,64,,CENTRO,29600000.0,AFONSO CLÁUDIO,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00001051,ME,,36408656105100,RUA GETULIO VARGAS,223,2 PISO,GLORIA,29122030.0,VILA VELHA,"ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS"
NAME00001052,ME,,36408656105200,RUA ELIAS ALVES BIBIANO,5,,SAO TORQUATO,29114150.0,VILA VELHA,EDUCAÇÃO INFANTIL - PRÉ-ESCOLA
NAME00001053,ME,,36408656105300,RUA JOSE RIBEIRO,179,1° ANDAR,SANTA MONICA,29105180.0,VILA VELHA,COMÉRCIO VAREJISTA DE ARTIGOS MÉDICOS E ORTOPÉDICOS
NAME00001054,EPP,,36408656105400,RUA BERNADINO MONTEIRO,125,,CENTRO,29650000.0,SANTA TERESA,COMÉRCIO VAREJISTA DE BEBIDAS
NAME00001055,ME,,36408656105500,AV SERGIO CARDOSO,23,,ILHA DOS BENTOS,29104305.0,VILA VELHA,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00001056,ME,,36408656105600,RUA FIORAVANTE ZANETTI,6,,CARLOS GERMANO NAUMANN,29705300.0,COLATINA,ALUGUEL DE EQUIPAMENTOS RECREATIVOS E ESPORTIVOS
NAME00001057,EPP,N,36408656105700,ROD GOVERNADOR MARIO COVAS,2796,KM    : 269 15; BLOCO : A;,JARDIM LIMOEIRO,29164038.0,SERRA,COMÉRCIO ATACADISTA ESPECIALIZADO EM OUTROS PRODUTOS INTERMEDIÁRIOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00001058,ME,,36408656105800,RUA ALUSIO SIMÕES,259,,BENTO FERREIRA,29050637.0,VITÓRIA,ALUGUEL DE IMÓVEIS PRÓPRIOS
NAME00001059,ME,N,36408656105900,RUA ITALINA PEREIRA MOTTA,110,TERREO 01 PAVIMENTO;,JARDIM CAMBURI,29090370.0,VITÓRIA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001060,ME,,36408656106000,AV DUARTE LEMOS,533,ED DUARTE LEMOS LOJA 02 BL A,ILHA DO PRINCIPE,29020370.0,VITÓRIA,IMPRESSÃO DE MATERIAL DE SEGURANÇA
NAME00001061,ME,,36408656106100,RUA SANTA HELENA,205,ANEXO A,MUCURI,29148585.0,CARIACICA,"TRANSPORTE RODOVIÁRIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANÇAS, INTERMUNICIPAL, INTERESTADUAL E INTERNACIONAL"
NAME00001062,EPP,N,36408656106200,AV AVIDES FRAGA,173,28) 3554-1211,SAO PEDRO,29480000.0,MUQUI,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00001063,ME,,36408656106300,AVENIDA JULIO GUDI,S/N,EDIF: MONT BLANK; APT: 401;,SAO JOSE FRUTEIRAS,29295000.0,VARGEM ALTA,"COMÉRCIO A VAREJO DE AUTOMÓVEIS, CAMIONETAS E UTILITÁRIOS USADOS"
NAME00001064,ME,,36408656106400,AVENIDA América,256,PAVMTO 01;,Jardim América,29140050.0,CARIACICA,COMÉRCIO A VAREJO DE PEÇAS E ACESSÓRIOS NOVOS PARA VEÍCULOS AUTOMOTORES
NAME00001065,ME,,36408656106500,RODOVIA SERAFIM DERENZI,4665,LOJA 01,SAO JOSE,29031847.0,VITÓRIA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001066,ME,,36408656106600,RUA PROJETADA,SN,,JATIBOCAS,29620000.0,ITARANA,ARMAZÉNS GERAIS - EMISSÃO DE WARRANT
NAME00001067,ME,N,36408656106700,RUA HENRIQUE COUTINHO,34,LJ 06 ED. ELISA N.COELHO,CENTRO,29200190.0,GUARAPARI,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, COM MANIPULAÇÃO DE FÓRMULAS"
NAME00001068,ME,,36408656106800,PRACA DA BANDEIRA,12,,CENTRO,29600000.0,AFONSO CLÁUDIO,IMPRESSÃO DE MATERIAL PARA OUTROS USOS
NAME00001069,ME,N,36408656106900,RUA DEOCLESIO COSSI,2,,DISTRITO DE ITOCA,29325000.0,CACHOEIRO DE ITAPEMIRIM,CASAS LOTÉRICAS
NAME00001070,ME,,36408656107000,AV HONORIO FRAGA,523,,CENTRO,29745000.0,SÃO DOMINGOS DO NORTE,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E COMPLEMENTOS
NAME00001071,ME,,36408656107100,AV DR OLIVIO CORRREA PEDROSA,293,,CENTRO,29500000.0,ALEGRE,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS"
NAME00001072,ME,,36408656107200,AV MARCOS DE AZEVEDO,340,LOJA 02,PARQUE MOSCOSO,29018035.0,VITÓRIA,"ALUGUEL DE OBJETOS DO VESTUÁRIO, JÓIAS E ACESSÓRIOS"
NAME00001073,ME,N,36408656107300,RUA JOSÉ JACINTO DE ASSIS,1806,,ESPLANADA,29702650.0,COLATINA,FORMAÇÃO DE CONDUTORES
NAME00001074,EPP,,36408656107400,RUA JOAO DE DEUS MADUREIRA,2,02/20,RECANTO,29303045.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO"
NAME00001075,ME,,36408656107500,AV OURO PRETO,1597,,INTERLAGOS II,29903620.0,LINHARES,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE PRODUÇÃO PRÓPRIA
NAME00001076,ME,,36408656107600,RUA GUARUJA,151,FUNDOS,MORADA DE LARANJEIRAS,29166844.0,SERRA,LOCAÇÃO DE AUTOMÓVEIS SEM CONDUTOR
NAME00001077,EPP,N,36408656107700,RUA CENTRAL,120,LOJA 01,SAO JOSE,29031803.0,VITÓRIA,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001078,ME,N,36408656107800,FAZENDA LIMAO PALMITAL,SN,,LOCALIDADE DE PALMITAL,29330000.0,ITAPEMIRIM,SERRARIAS SEM DESDOBRAMENTO DE MADEIRA
NAME00001079,EPP,N,36408656107900,RUA GERALDO PEREIRA,194,5 ANDAR,CENTRO,29700130.0,COLATINA,ATIVIDADES DE RÁDIO
NAME00001080,ME,,36408656108000,AVENIDA EXPEDITO GARCIA,150,,CAMPO GRANDE,29146201.0,CARIACICA,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001081,EPP,,36408656108100,AV. ALBERTO RAMALHETE COUTINHO,1879,"ED. F. T. SL 19,20  E 21",PRAIA DO MORRO,29216010.0,GUARAPARI,ATIVIDADES DE GRAVAÇÃO DE SOM E DE EDIÇÃO DE MÚSICA
NAME00001082,ME,N,36408656108200,AV SETEMBRINO PELISSARI,419,,CENTRO,29980000.0,PINHEIROS,COMÉRCIO VAREJISTA DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS
NAME00001083,ME,N,36408656108300,AVENIDA GETULIO VARGAS,115,,CENTRO,29650000.0,SANTA TERESA,HOTÉIS
NAME00001084,ME,,36408656108400,RUA JOSE ROSA MACHADO,304/308,,NOSSA SENHORA DE FATIMA,29311304.0,CACHOEIRO DE ITAPEMIRIM,COMÉRCIO VAREJISTA DE MATERIAIS DE CONSTRUÇÃO EM GERAL
NAME00001085,ME,,36408656108500,AVENIDA MARECHAL MASCARENHAS DE MORAES,2635,,BENTO FERREIRA,29050667.0,VITÓRIA,"COMÉRCIO VAREJISTA ESPECIALIZADO DE PEÇAS E ACESSÓRIOS PARA APARELHOS ELETROELETRÔNICOS PARA USO DOMÉSTICO, EXCETO INFORMÁTICA E COMUNICAÇÃO"
NAME00001086,ME,,36408656108600,AV PRESIDENTE GETULIO VARGAS,425,,CENTRO,29390000.0,IÚNA,COMÉRCIO VAREJISTA DE TECIDOS
NAME00001087,EPP,N,36408656108700,RUA Costa Pereira,200,,Sumaré,29304516.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE DOCES, BALAS, BOMBONS E SEMELHANTES"
NAME00001088,ME,,36408656108800,AV. ARISTIDES CAMPOS,193,,NOVA BRASILIA,29302600.0,CACHOEIRO DE ITAPEMIRIM,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001089,ME,,36408656108900,RUA JUVENTINA GAMA DE SOUZA,165,LOJA A,NOSSA SENHORA DA PENHA,29110070.0,VILA VELHA,ALUGUEL DE IMÓVEIS PRÓPRIOS
NAME00001090,ME,,36408656109000,ROD BR 262,SN,KM 956,DISTRITO DO ARACE,29278000.0,DOMINGOS MARTINS,PADARIA E CONFEITARIA COM PREDOMINÂNCIA DE REVENDA
NAME00001091,ME,,36408656109100,RUA JOAO COSTA,122,,CENTRO,29398000.0,IRUPI,"COMÉRCIO VAREJISTA DE PRODUTOS FARMACÊUTICOS, SEM MANIPULAÇÃO DE FÓRMULAS"
NAME00001092,ME,N,36408656109200,RUA DAS PALMEIRAS,722,LOJA 01;,SANTA LÚCIA,29056210.0,VITÓRIA,"FABRICAÇÃO DE OUTRAS MÁQUINAS E EQUIPAMENTOS DE USO GERAL NÃO ESPECIFICADOS ANTERIORMENTE, PEÇAS E ACESSÓRIOS"
NAME00001093,ME,,36408656109300,RUA PRINCIPAL,SN,,MATILDE,29248000.0,ALFREDO CHAVES,HOTÉIS
NAME00001094,ME,,36408656109400,RUA CARLOS XAVIER,350,,CENTRO,29460000.0,BOM JESUS DO NORTE,COMÉRCIO VAREJISTA DE MADEIRA E ARTEFATOS
NAME00001095,ME,N,36408656109500,AVENIDA JOÃO FELIPE,367,LOJA C,CENTRO,29760000.0,ALTO RIO NOVO,COMÉRCIO VAREJISTA DE ARTIGOS DE PAPELARIA
NAME00001096,EPP,,36408656109600,RUA CARLOS MARTINS,1064 E, 1074  LOJA 01,JARDIM CAMBURI,29090060.0,VITÓRIA,RESTAURANTES E SIMILARES
NAME00001097,ME,N,36408656109700,RUA CONSTANTINO TIRELLO,35,,AEROPORTO,29314055.0,CACHOEIRO DE ITAPEMIRIM,SERVIÇOS DE MANUTENÇÃO E REPARAÇÃO MECÂNICA DE VEÍCULOS AUTOMOTORES
NAME00001098,EPP,N,36408656109800,RUA OMERO NUNES,94,,CACHOEIRA DA ONCA,29780000.0,SÃO GABRIEL DA PALHA,"ALUGUEL DE MÁQUINAS E EQUIPAMENTOS PARA CONSTRUÇÃO SEM OPERADOR, EXCETO ANDAIMES"
NAME00001099,ME,N,36408656109900,RUA CAPITAO BLEY,900,,NOVA ALMEIDA CENTRO,29182015.0,SERRA,Fabricação de produtos de padaria e confeitaria com predominância de produção própria
NAME00001100,ME,,36408656110000,RUA BENJAMIN COSTA,136,,MARISTA,29707130.0,COLATINA,FORMAÇÃO DE CONDUTORES
NAME00001101,EPP,,36408656110100,RUA CLÁUDIO COUTINHO,14,,JARDIM LIMOEIRO,29164074.0,SERRA,METALURGIA DO PÓ
NAME00001102,ME,,36408656110200,RUA DAS ORQUIDEAS,2,,FLOR DO CAMPO,29145827.0,CARIACICA,COMÉRCIO ATACADISTA DE TECIDOS
NAME00001103,EPP,N,36408656110300,R SAO PAULO,2,,ALTEROSAS,29167041.0,SERRA,COMÉRCIO ATACADISTA DE OUTROS PRODUTOS QUÍMICOS E PETROQUÍMICOS NÃO ESPECIFICADOS ANTERIORMENTE
NAME00001104,ME,,36408656110400,JOAO BIGOSSI,523,LOJA 03,ITAPEBUSSU,29210150.0,GUARAPARI,ATIVIDADES DE LIMPEZA NÃO ESPECIFICADAS ANTERIORMENTE
NAME00001105,ME,N,36408656110500,AVENIDA CASTELO BRANCO,757,,VILA LANDINHA,29800000.0,BARRA DE SÃO FRANCISCO,"COMÉRCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINÂNCIA DE PRODUTOS ALIMENTÍCIOS - MINIMERCADOS, MERCEARIAS E ARMAZÉNS"
NAME00001106,EPP,,36408656110600,RUA ALBERTO DE OLIVEIRA SANTOS,333,,SOTECO,29106100.0,VILA VELHA,"CONFECÇÃO DE PEÇAS DO VESTUÁRIO, EXCETO ROUPAS ÍNTIMAS E AS CONFECCIONADAS SOB MEDIDA"
NAME00001107,EPP,,36408656110700,AV DUARTE LEMOS,322,,VILA RUBIM,29025220.0,VITÓRIA,"CONFECÇÃO DE ROUPAS PROFISSIONAIS, EXCETO SOB MEDIDA"
